dataset,method_key,method,measure,value
arguana,bm25,BM25,AP,0.40452852051041577
arguana,bm25,BM25,RR,0.40452852051041577
arguana,bm25,BM25,P@10,0.07773826458036984
arguana,bm25,BM25,nDCG@10,0.48557119260994236
arguana,bm25_hamming,BM25 + Hamming,AP,0.6428529333141154
arguana,bm25_hamming,BM25 + Hamming,RR,0.6428529333141154
arguana,bm25_hamming,BM25 + Hamming,P@10,0.09537695590327169
arguana,bm25_hamming,BM25 + Hamming,nDCG@10,0.7167994029486128
arguana,bm25_cosine_int8,BM25 + cos_int8,AP,0.6481781552231892
arguana,bm25_cosine_int8,BM25 + cos_int8,RR,0.6481781552231892
arguana,bm25_cosine_int8,BM25 + cos_int8,P@10,0.09587482219061168
arguana,bm25_cosine_int8,BM25 + cos_int8,nDCG@10,0.7225412598779009
arguana,bm25_cosine_float,BM25 + cos_float,AP,0.6491329890988254
arguana,bm25_cosine_float,BM25 + cos_float,RR,0.6491329890988254
arguana,bm25_cosine_float,BM25 + cos_float,P@10,0.09601706970128022
arguana,bm25_cosine_float,BM25 + cos_float,nDCG@10,0.7236434841430016
arguana,hamming,Hamming,AP,0.6426891355333836
arguana,hamming,Hamming,RR,0.6426891355333836
arguana,hamming,Hamming,P@10,0.09537695590327169
arguana,hamming,Hamming,nDCG@10,0.716564038029305
arguana,hamming_cosine_int8,Hamming + cos_int8,AP,0.6479824682118772
arguana,hamming_cosine_int8,Hamming + cos_int8,RR,0.6479824682118772
arguana,hamming_cosine_int8,Hamming + cos_int8,P@10,0.09601706970128022
arguana,hamming_cosine_int8,Hamming + cos_int8,nDCG@10,0.7226199556256379
arguana,hamming_cosine_float,Hamming + cos_float,AP,0.6489575278612743
arguana,hamming_cosine_float,Hamming + cos_float,RR,0.6489575278612743
arguana,hamming_cosine_float,Hamming + cos_float,P@10,0.09608819345661448
arguana,hamming_cosine_float,Hamming + cos_float,nDCG@10,0.7235380272602706
arguana,cosine_int8,cos_int8,AP,0.6479824682118772
arguana,cosine_int8,cos_int8,RR,0.6479824682118772
arguana,cosine_int8,cos_int8,P@10,0.09601706970128022
arguana,cosine_int8,cos_int8,nDCG@10,0.7226199556256379
arguana,cosine_int8_cosine_float,cos_int8 + cos_float,AP,0.6489575278612743
arguana,cosine_int8_cosine_float,cos_int8 + cos_float,RR,0.6489575278612743
arguana,cosine_int8_cosine_float,cos_int8 + cos_float,P@10,0.09608819345661448
