method_key,method,n,mean_ms,std_ms,sem_ms,ci95_lower_ms,ci95_upper_ms
bm25,BM25,8,193.02165181463351,212.16243461414382,75.01074811435429,15.649417693313666,370.39388593595334
bm25_hamming,BM25 + Hamming,8,228.38865849073045,232.53769084285568,82.21448903822208,33.982283878641425,422.7950331028195
bm25_cosine_int8,BM25 + Cosine (int8),8,350.1191782297974,349.70309209893514,123.63871391253039,57.76007687648587,642.4782795831089
bm25_cosine_float,BM25 + Cosine (float),8,1387.7942711862852,1977.5176807265614,699.1580809790228,-265.4518827937836,3041.040425166354
hamming,Hamming,8,22.937585581239546,29.467182820531207,10.418222397430675,-1.6975957582121453,47.57276692069124
hamming_cosine_int8,Hamming + Cosine (int8),8,164.46379588189302,220.12942086427898,77.82750311589957,-19.56900542687609,348.4965971906621
hamming_cosine_float,Hamming + Cosine (float),8,1483.1372822438425,2393.6161385415808,846.2711015601551,-517.9758879274402,3484.2504524151254
cosine_int8,Cosine (int8),8,822.4753161416447,1124.388215887668,397.53126607020687,-117.53675637435003,1762.4873886576395
cosine_int8_float,Cosine (int8) + Cosine (float),8,2620.2312559183338,4041.697947789474,1428.9560131948447,-758.7127873415343,5999.175299178201
cosine_float,Cosine (float),8,1998.105643963936,3004.1640911400814,1062.1324003211364,-513.4383882378784,4509.649676165751
rrf_hamming,RRF (BM25 + Hamming),8,225.44170562148793,221.45749050252957,78.29704663944705,40.298610309760164,410.58480093321566
rrf_cosine_int8,RRF (BM25 + Cosine (int8)),8,974.5865768445947,1151.0382828851416,406.9534876167016,12.294490755878428,1936.8786629333108
rrf_cosine_float,RRF (BM25 + Cosine (float)),8,2098.6749152099947,2867.568908090279,1013.8387102151698,-298.6726861683446,4496.022516588334
