dataset,method_key,method,query_id,mean_elapsed_ms
arguana,bm25,BM25,test-culture-mthbah-pro02a,400.85140420123935
arguana,bm25,BM25,test-economy-epiasghbf-con01a,224.22601230209693
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,227.48943779151887
arguana,bm25,BM25,test-education-pstrgsehwt-pro03a,755.0084999995306
arguana,bm25,BM25,test-health-dhghwapgd-con01a,833.989004092291
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,589.6156747941859
arguana,bm25,BM25,test-international-amehbuaisji-con04a,755.5276583065279
arguana,bm25,BM25,test-politics-gvhbhlsbr-con04a,393.4281333931722
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,437.6686291070655
arguana,bm25,BM25,test-sport-otshwbe2uuyt-con03a,1050.0656705815345
arguana,bm25_cosine_float,BM25 + Cosine (float),test-culture-mthbah-pro02a,454.0508667821996
arguana,bm25_cosine_float,BM25 + Cosine (float),test-economy-epiasghbf-con01a,268.6786752194166
arguana,bm25_cosine_float,BM25 + Cosine (float),test-economy-eptpghdtre-pro02a,267.515191831626
arguana,bm25_cosine_float,BM25 + Cosine (float),test-education-pstrgsehwt-pro03a,806.8687749095261
arguana,bm25_cosine_float,BM25 + Cosine (float),test-health-dhghwapgd-con01a,870.016104390379
arguana,bm25_cosine_float,BM25 + Cosine (float),test-health-hgwhwbjfs-pro03a,628.8012751028873
arguana,bm25_cosine_float,BM25 + Cosine (float),test-international-amehbuaisji-con04a,807.1757290745154
arguana,bm25_cosine_float,BM25 + Cosine (float),test-politics-gvhbhlsbr-con04a,437.3467668076046
arguana,bm25_cosine_float,BM25 + Cosine (float),test-science-wsihwclscaaw-con01a,490.3924664715305
arguana,bm25_cosine_float,BM25 + Cosine (float),test-sport-otshwbe2uuyt-con03a,1091.91037081182
arguana,bm25_cosine_int8,BM25 + Cosine (int8),test-culture-mthbah-pro02a,419.86709171906114
arguana,bm25_cosine_int8,BM25 + Cosine (int8),test-economy-epiasghbf-con01a,241.3691458874382
arguana,bm25_cosine_int8,BM25 + Cosine (int8),test-economy-eptpghdtre-pro02a,238.62641259329394
arguana,bm25_cosine_int8,BM25 + Cosine (int8),test-education-pstrgsehwt-pro03a,790.6312791048549
arguana,bm25_cosine_int8,BM25 + Cosine (int8),test-health-dhghwapgd-con01a,842.4078958923928
arguana,bm25_cosine_int8,BM25 + Cosine (int8),test-health-hgwhwbjfs-pro03a,604.525937512517
