dataset,method_key,method,query_id,rep,elapsed_ms
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,0,438.86295903939754
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,1,438.3528330363333
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,2,441.23137509450316
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,3,439.34504105709493
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,4,438.4569159010425
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,5,434.1392919886857
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,6,434.29904198274016
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,7,436.58979097381234
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,8,439.0962499892339
arguana,bm25,BM25,test-science-wsihwclscaaw-con01a,9,436.31279200781137
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,0,220.63241701107472
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,1,220.34162492491305
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,2,221.17558401077986
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,3,221.7469169991091
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,4,285.8787920558825
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,5,221.4305839734152
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,6,221.47954197134823
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,7,221.62458405364305
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,8,220.4050829168409
arguana,bm25,BM25,test-economy-eptpghdtre-pro02a,9,220.17924999818206
arguana,bm25,BM25,test-culture-mthbah-pro02a,0,407.19720907509327
arguana,bm25,BM25,test-culture-mthbah-pro02a,1,399.2318749660626
arguana,bm25,BM25,test-culture-mthbah-pro02a,2,399.2570829577744
arguana,bm25,BM25,test-culture-mthbah-pro02a,3,399.2722089169547
arguana,bm25,BM25,test-culture-mthbah-pro02a,4,400.26716608554125
arguana,bm25,BM25,test-culture-mthbah-pro02a,5,400.67500004079193
arguana,bm25,BM25,test-culture-mthbah-pro02a,6,403.4686250379309
arguana,bm25,BM25,test-culture-mthbah-pro02a,7,399.94999999180436
arguana,bm25,BM25,test-culture-mthbah-pro02a,8,399.09995801281184
arguana,bm25,BM25,test-culture-mthbah-pro02a,9,400.0949169276282
arguana,bm25,BM25,test-international-amehbuaisji-con04a,0,752.5202089454979
arguana,bm25,BM25,test-international-amehbuaisji-con04a,1,768.6672910349444
arguana,bm25,BM25,test-international-amehbuaisji-con04a,2,784.9867499899119
arguana,bm25,BM25,test-international-amehbuaisji-con04a,3,751.6115000471473
arguana,bm25,BM25,test-international-amehbuaisji-con04a,4,749.9227500520647
arguana,bm25,BM25,test-international-amehbuaisji-con04a,5,751.5330830356106
arguana,bm25,BM25,test-international-amehbuaisji-con04a,6,746.2965419981629
arguana,bm25,BM25,test-international-amehbuaisji-con04a,7,749.438958009705
arguana,bm25,BM25,test-international-amehbuaisji-con04a,8,749.3615410057828
arguana,bm25,BM25,test-international-amehbuaisji-con04a,9,750.9379589464515
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,0,594.9233750579879
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,1,583.8020829251036
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,2,582.6532499631867
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,3,618.9818329876289
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,4,585.3618750115857
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,5,587.525416049175
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,6,586.3871669862419
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,7,583.4683750290424
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,8,587.9050829680637
arguana,bm25,BM25,test-health-hgwhwbjfs-pro03a,9,585.1482909638435
arguana,bm25,BM25,test-health-dhghwapgd-con01a,0,816.6833749273792
